participant_id,dark_period_ts,lights_on_ts,trial,condition,melanopic_edi,photopic_lux
312,2025-03-19T16:30:08Z,2025-03-19T17:02:27Z,19,3,1967,2420
312,2025-03-19T16:30:08Z,2025-03-19T17:03:39Z,20,5,8408,9822
312,2025-03-19T16:30:08Z,2025-03-19T17:04:53Z,21,2,912,1074
312,2025-03-19T16:30:08Z,2025-03-19T17:06:06Z,22,2,912,1074
312,2025-03-19T16:30:08Z,2025-03-19T17:07:26Z,23,4,3906,4532
312,2025-03-19T16:30:08Z,2025-03-19T17:08:39Z,24,2,912,1074
312,2025-03-19T16:30:08Z,2025-03-19T17:09:53Z,25,5,8408,9822
312,2025-03-19T16:30:08Z,2025-03-19T17:11:07Z,26,5,8408,9822
312,2025-03-19T16:30:08Z,2025-03-19T17:12:21Z,27,1,392,486
312,2025-03-19T16:30:08Z,2025-03-19T17:13:33Z,28,3,1967,2420
312,2025-03-19T16:30:08Z,2025-03-19T17:14:46Z,29,3,1967,2420
312,2025-03-19T16:30:08Z,2025-03-19T17:16:00Z,30,2,912,1074
312,2025-03-19T16:30:08Z,2025-03-19T17:17:13Z,31,0,0,0
312,2025-03-19T16:30:08Z,2025-03-19T17:18:24Z,32,0,0,0
312,2025-03-19T16:30:08Z,2025-03-19T17:19:36Z,33,3,1967,2420
312,2025-03-19T16:30:08Z,2025-03-19T17:20:49Z,34,0,0,0
312,2025-03-19T16:30:08Z,2025-03-19T17:22:03Z,35,4,3906,4532
312,2025-03-19T16:30:08Z,2025-03-19T17:23:16Z,36,4,3906,4532
314,2025-03-21T10:40:23Z,2025-03-21T10:50:43Z,1,5,8408,9822
314,2025-03-21T10:40:23Z,2025-03-21T10:51:55Z,2,1,392,486
314,2025-03-21T10:40:23Z,2025-03-21T10:53:08Z,3,4,3906,4532
314,2025-03-21T10:40:23Z,2025-03-21T10:54:19Z,4,0,0,0
314,2025-03-21T10:40:23Z,2025-03-21T10:55:31Z,5,3,1967,2420
314,2025-03-21T10:40:23Z,2025-03-21T10:56:42Z,6,1,392,486
314,2025-03-21T10:40:23Z,2025-03-21T10:57:55Z,7,5,8408,9822
314,2025-03-21T10:40:23Z,2025-03-21T10:59:07Z,8,4,3906,4532
